name,sku,description,unit_price,unit,brand,supplier_name
CA12172 CHERY 99 1.0 2016-->,1 2CA-12172,,4478.88,unidad,FRAM,BERAL SRL
CA12173 CHERY FULLWIN 1.5,1 2CA-12173,,6387.26,unidad,FRAM,BERAL SRL
CA12174 CHERY TIIGO III16-->,1 2CA-12174,,5985.2,unidad,FRAM,BERAL SRL
CA12180 NISSAN FRONTIER NP300,1 2CA-12180,,9162.05,unidad,FRAM,BERAL SRL
CA12242FIATTIPO II 1.3-1.4-1.6,1 2CA-12242,,28114.42,unidad,FRAM,BERAL SRL
CA12289 TOYOTA COROLLA 2021,1 2CA-12289,,13194.22,unidad,FRAM,BERAL SRL
CA12315 NISSAN KICK,1 2CA-12315,,6940.87,unidad,FRAM,BERAL SRL
CA12342 FIAT ARGO CRONOS 1.3,1 2CA-12342,,10209.15,unidad,FRAM,BERAL SRL
CA12344 FIAT ARGO CRONOS 1.8,1 2CA-12344,,9109.7,unidad,FRAM,BERAL SRL
CA12430 FORD ECOSPORT1.5DRAGON,1 2CA-12430,,10942.11,unidad,FRAM,BERAL SRL
CA1533 JOHN DEERE 4040-4050,1 1CA-1533,,70940.48,unidad,FRAM,BERAL SRL
CA1533SY JOHN DEERE 4040-4050-,1 1CA-1533SY,,40365.39,unidad,FRAM,BERAL SRL
CA1566 FIAT VIVACE NAFTERO T,1 1CA-1566EE,,6858.45,unidad,FRAM,BERAL SRL
"CA160 CHRYSLER DAKOTA 3,9 5,2",1 1CA-160,,13559.84,unidad,FRAM,BERAL SRL
"CA192 CHEVROLET BLAZER 4,3L V6",1 1CA-192,,12198.62,unidad,FRAM,BERAL SRL
CA224 CATERPILLAR 4M8097,1 1CA-224,,57904.18,unidad,FRAM,BERAL SRL
CA226 CATERPILLAR,1 1CA-226,,105860.99,unidad,FRAM,BERAL SRL
CA226SY CATERPILLAR 4M9334,1 1CA-226SY,,34469.96,unidad,FRAM,BERAL SRL
CA2517 JOHN DEERE 8430-8440 PR,1 1CA-2517,,114970.69,unidad,FRAM,BERAL SRL
CA2517SY AIRE SECUNDARIO,1 1CA-2517SY,,50103.35,unidad,FRAM,BERAL SRL
CA2521SY JOHN DEERE TRACTORES,1 1CA-2521SY,,99712.26,unidad,FRAM,BERAL SRL
CA253SY  MITSUBISHI L-300,1 1CA-253SY,,27590.87,unidad,FRAM,BERAL SRL
CA2557SY FIAT AGRI TRACTORES,1 1CA-2557SY,,72009.57,unidad,FRAM,BERAL SRL
CA258SY JOHN DEERE 330 4400,1 1CA-258SY,,29777.39,unidad,FRAM,BERAL SRL
"CA2653 CHEVETTE,HATCH,CHEVY 50",1 1CA-2653,,10065.09,unidad,FRAM,BERAL SRL
CA2671PL FIAT 128 C.CL.FAMILIA,1 1CA-2671PL,,9133.82,unidad,FRAM,BERAL SRL
"CA2718 FIAT 147,128,SUPER EURO",1 1CA-2718EE,,6334.91,unidad,FRAM,BERAL SRL
CA2740 MAZDA 626 RURAL,1 2CA-2740,,10790.82,unidad,FRAM,BERAL SRL
CA283 B PU SE ENTR.COMO CA283A,1 1CA-283 B PU,,25653.75,unidad,FRAM,BERAL SRL
"CA283A FORD F-100,F-400,F-1000",1 1CA-283 A,,27585.64,unidad,FRAM,BERAL SRL
"CA3105 MERCEDEZ BENZ  608,F-10",1 1CA-3105,,19523.03,unidad,FRAM,BERAL SRL
"CA3105SY ZANELLO UP-10,DEUTZ D",1 1CA-3105SY,,16753.47,unidad,FRAM,BERAL SRL
CA3115 PEUGEOT 504 MODELO NUEV,1 1CA-3115,,17119.95,unidad,FRAM,BERAL SRL
CA3154 RENAULT 21 INYECCIONT,1 1CA-3154EE,,9004.99,unidad,FRAM,BERAL SRL
"CA3164 RENAULT 12 MOTOR 1,4,",1 1CA-3164EE,,9580.89,unidad,FRAM,BERAL SRL
"CA3167 FIAT 147 TRD,DUNA UNO",1 1CA-3167EE,,9319.12,unidad,FRAM,BERAL SRL
CA3174B PEUGEOT 205 RG3 RG5,1 1CA-3174B,,16334.63,unidad,FRAM,BERAL SRL
CA3194 MERCEDEZ BENZ 1935-1938,1 1CA-3194,,12547.14,unidad,FRAM,BERAL SRL
"CA3280 SCANIA L-111.LT-111,BR-",1 1CA-3280,,45093.01,unidad,FRAM,BERAL SRL
"CA3280SY SCANIA L-111.LT-111,B",1 1CA-3280SY,,22805.66,unidad,FRAM,BERAL SRL
"CA3290 SCANIA K-112,OMNIBUS UR",1 1CA-3290,,56804.73,unidad,FRAM,BERAL SRL
CA3291 MERCEDEZ BENZ 1517-1518,1 1CA-3291,,28357.87,unidad,FRAM,BERAL SRL
CA3291SY MERCEDEZ BENZ 1517-15,1 1CA-3291SY,,21429.78,unidad,FRAM,BERAL SRL
"CA3295 DEUTZ TRACTOR,AX-100,DX",1 1CA-3295,,21795.22,unidad,FRAM,BERAL SRL
"CA3295SY DEUTZ TRACTOR,AX-100,",1 1CA-3295SY,,14554.58,unidad,FRAM,BERAL SRL
